cycle|instructions|events|p8|p10|bonds|atoms|error
82|part-10:track_plus,part-8:track_plus|-|o=2,-2;r=1;l=1;t=5;tips=0:2,-1;held=-|o=4,-2;r=5;l=1;t=2;tips=0:5,-3;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
83|part-10:track_plus,part-8:rotate_cw|-|o=2,-2;r=0;l=1;t=5;tips=0:3,-2;held=-|o=4,-3;r=5;l=1;t=3;tips=0:5,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
84|part-8:grab|atom-grabbed|o=2,-2;r=0;l=1;t=5;tips=0:3,-2;held=part-4-spawn-0-atom-0|o=4,-3;r=5;l=1;t=3;tips=0:5,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
85|part-10:rotate_cw,part-8:rotate_cw|-|o=2,-2;r=5;l=1;t=5;tips=0:3,-3;held=part-4-spawn-0-atom-0|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-3[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
86|part-8:track_plus|-|o=2,-1;r=5;l=1;t=0;tips=0:3,-2;held=part-4-spawn-0-atom-0|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
87|part-8:drop|atoms-dropped|o=2,-1;r=5;l=1;t=0;tips=0:3,-2;held=-|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
88|part-10:track_plus,part-8:track_plus|-|o=3,-1;r=5;l=1;t=1;tips=0:4,-2;held=-|o=3,-3;r=4;l=1;t=4;tips=0:3,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
89|part-1:rotate_cw,part-10:track_plus,part-8:rotate_cw|-|o=3,-1;r=4;l=1;t=1;tips=0:3,-2;held=-|o=2,-2;r=4;l=1;t=5;tips=0:2,-3;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
90|part-1:rotate_cw,part-8:grab|atom-grabbed|o=3,-1;r=4;l=1;t=1;tips=0:3,-2;held=part-4-spawn-0-atom-0|o=2,-2;r=4;l=1;t=5;tips=0:2,-3;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
91|part-1:rotate_cw,part-10:rotate_cw,part-8:rotate_cw|-|o=3,-1;r=3;l=1;t=1;tips=0:2,-1;held=part-4-spawn-0-atom-0|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@2,-1[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
92|part-8:track_plus|-|o=4,-2;r=3;l=1;t=2;tips=0:3,-2;held=part-4-spawn-0-atom-0|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
93|part-8:drop|atoms-dropped|o=4,-2;r=3;l=1;t=2;tips=0:3,-2;held=-|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
94|part-10:track_plus,part-8:track_plus|-|o=4,-3;r=3;l=1;t=3;tips=0:3,-3;held=-|o=2,-1;r=3;l=1;t=0;tips=0:1,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
95|part-10:drop,part-8:track_plus|-|o=3,-3;r=3;l=1;t=4;tips=0:2,-3;held=-|o=2,-1;r=3;l=1;t=0;tips=0:1,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
96|part-10:rotate_cw,part-8:rotate_ccw|-|o=3,-3;r=4;l=1;t=4;tips=0:3,-4;held=-|o=2,-1;r=2;l=1;t=0;tips=0:1,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
